	prediction key	run number	index	Accuracy	Inter-Aspect	Position	CWR	Model	Macro F1	STAC Multi	STAC 1	STAC	Dataset	1-TSSR	1-multi-TSSR	1-target	distinct_sentiment_1	distinct_sentiment_2	distinct_sentiment_3	high-TSSR	high-shot	high-targets	known_sentiment_known_target	low-TSSR	low-shot	low-targets	med-shot	med-targets	unknown_sentiment_known_target	unknown_targets	zero-shot	Data Split	Total Sentences	DS 1 Sentences	DS 2 and 3 Sentences
0	predicted_target_sentiment_AE_CWR_None_None	0	40	0.6084218811491539	False	False	True	AE	0.5273941022170298	0.12436548223350254	0.5159914712153518	0.33719582850521435	Election	0.44989247311827957	0.5954020382529953	0.44989247311827957	0.5827100323906633	0.46799800961998167	0.5462600321027288	0.4804642867821596	0.534910394265233	0.5140825761706809	0.5279284435103787	0.48066181138795155	0.47671342438784303	0.5317688154459215	0.5263314398884765	0.5369007436846771	0.24534533752003232	0.5701384855804975	0.5701384855804975	Test	863	469	394
1	predicted_target_sentiment_AE_CWR_None_None	1	41	0.6013380558835104	False	False	True	AE	0.5035142348541627	0.13705583756345177	0.4946695095948827	0.3314020857473928	Election	0.38823069403714566	0.5615143561344106	0.38823069403714566	0.5469332063399569	0.4452174704735226	0.5644649131364163	0.45724578119056697	0.5074203024881875	0.47718825556054495	0.5132944604741074	0.4683986614481377	0.4833086665861222	0.5125198074628441	0.4969617300563974	0.5161568226130636	0.2180664737780689	0.5103954743272312	0.5103954743272312	Test	863	469	394
2	predicted_target_sentiment_AE_CWR_None_None	2	42	0.5820543093270366	False	False	True	AE	0.410102269320389	0.13451776649746192	0.47761194029850745	0.320973348783314	Election	0.36503267973856207	0.43474783917665777	0.36503267973856207	0.42935093426302123	0.3941522190528879	0.382900368269135	0.404991787502107	0.4197597337095699	0.42606837606837605	0.40430171241890084	0.3771462937904075	0.40700929668166747	0.40030304879978656	0.37192243066658187	0.4190035861414896	0.3032679738562091	0.43406805096413165	0.43406805096413165	Test	863	469	394
3	predicted_target_sentiment_AE_CWR_None_None	3	43	0.6044864226682408	False	False	True	AE	0.49569988302007895	0.14213197969543148	0.4989339019189765	0.33603707995365006	Election	0.4526660280970625	0.5294700875031707	0.4526660280970625	0.5237210518745179	0.45572295165155347	0.5277369439071566	0.4761696443336276	0.5085386704133366	0.5136286608581545	0.5007908990416737	0.4646553085577476	0.45178901851331693	0.4939834943381742	0.49606611604556683	0.48695518638299967	0.23776685360843777	0.5156511941077858	0.5156511941077858	Test	863	469	394
4	predicted_target_sentiment_AE_CWR_None_None	4	44	0.5887445887445888	False	False	True	AE	0.5013949844523334	0.12944162436548223	0.4861407249466951	0.32329084588644263	Election	0.3978356793451134	0.5484185399981689	0.3978356793451134	0.5341372840818893	0.4512039969504966	0.5528718033119376	0.42594299685124454	0.5140927624872579	0.4936222509323467	0.5125986841756733	0.4949179731152513	0.4797381174231779	0.4943783406211287	0.4888522073843174	0.5322612815800692	0.19798398059267622	0.5050473807906647	0.5050473807906647	Test	863	469	394
5	predicted_target_sentiment_AE_CWR_None_None	5	45	0.6005509641873278	False	False	True	AE	0.5128607721424859	0.12436548223350254	0.5202558635394456	0.33951332560834296	Election	0.4481380453011658	0.5718921227066943	0.4481380453011658	0.5631869917794751	0.45989081250484215	0.5095699260647715	0.4756592566124174	0.49044873207811596	0.5262945369454153	0.5164989432672981	0.4644925961252328	0.48734072655901933	0.5029439585994998	0.5246307534130547	0.5171310998506379	0.26729390681003584	0.5231051004618661	0.5231051004618661	Test	863	469	394
6	predicted_target_sentiment_AE_CWR_None_None	6	46	0.5907123179850453	False	False	True	AE	0.4540740456378467	0.13451776649746192	0.47121535181236673	0.3174971031286211	Election	0.4321380780658184	0.49206528040780756	0.4321380780658184	0.487240182418559	0.42340511361474914	0.4424171653773172	0.4226660756963933	0.4796979996395943	0.4149017301119071	0.4571349896032972	0.4288152654217481	0.41381927769657617	0.45244275321992405	0.44679473445395007	0.4853620337403199	0.24670112988469858	0.47019004972286393	0.47019004972286393	Test	863	469	394
7	predicted_target_sentiment_AE_CWR_None_None	7	47	0.6064541519086973	False	False	True	AE	0.49501927990248246	0.11928934010152284	0.5245202558635395	0.33951332560834296	Election	0.4427015250544663	0.5559036025389233	0.4427015250544663	0.5479629342756102	0.429874469100671	0.5328607844737517	0.4153908544580019	0.5046375315418957	0.47167410714285724	0.5044012516934597	0.4707972692312387	0.4489311275165795	0.49253932444949555	0.501364853432016	0.5171227550505318	0.19241352201257858	0.5084840260187725	0.5084840260187725	Test	863	469	394
8	predicted_target_sentiment_AE_GloVe_Embedding_None	0	96	0.5765446674537583	False	Embedding	False	AE	0.4378853374350935	0.1116751269035533	0.4626865671641791	0.30243337195828507	Election	0.41794027552541485	0.4670265221407022	0.41794027552541485	0.4638455992457435	0.41213183619870364	0.4417527103768715	0.4112122974613115	0.44588262483045177	0.4128049868415184	0.4494329722057275	0.4168117698384084	0.44877051538828194	0.4314071287664096	0.41193068403720506	0.46160748642249505	0.20450046685340806	0.41196969696969704	0.41196969696969704	Test	863	469	394
9	predicted_target_sentiment_AE_GloVe_Embedding_None	1	97	0.564344746162928	False	Embedding	False	AE	0.4563536550652925	0.12944162436548223	0.43710021321961623	0.2966396292004635	Election	0.40553520553520556	0.4782116144646558	0.40553520553520556	0.4726991497208712	0.43388219203633044	0.4535835054014423	0.41086043529043587	0.4756506438545274	0.44086408918235853	0.47256612308461904	0.45585637205748936	0.4418872523775192	0.45755760356648983	0.457337594811805	0.47218764315301004	0.22491582491582493	0.4149112655575132	0.4149112655575132	Test	863	469	394
