	prediction key	run number	Accuracy	Dataset Size	Inter-Aspect	Position	CWR	Model	Dataset	Split	Reduced Error Split	NT	Subset By
42	predicted_target_sentiment_AE_GloVe_Weighting_None	2	73.75	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
43	predicted_target_sentiment_AE_GloVe_Weighting_None	3	69.375	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
44	predicted_target_sentiment_AE_GloVe_Weighting_None	4	71.875	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
45	predicted_target_sentiment_AE_GloVe_Weighting_None	5	69.375	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
46	predicted_target_sentiment_AE_GloVe_Weighting_None	6	72.5	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
47	predicted_target_sentiment_AE_GloVe_Weighting_None	7	70.625	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
48	predicted_target_sentiment_AE_GloVe_Weighting_None	0	86.11111111111111	72	False	Weighting	False	AE	Laptop	Test	DS	Med	DS1
49	predicted_target_sentiment_AE_GloVe_Weighting_None	1	88.88888888888889	72	False	Weighting	False	AE	Laptop	Test	DS	Med	DS1
50	predicted_target_sentiment_AE_GloVe_Weighting_None	2	84.72222222222221	72	False	Weighting	False	AE	Laptop	Test	DS	Med	DS1
51	predicted_target_sentiment_AE_GloVe_Weighting_None	3	86.11111111111111	72	False	Weighting	False	AE	Laptop	Test	DS	Med	DS1
52	predicted_target_sentiment_AE_GloVe_Weighting_None	4	79.16666666666666	72	False	Weighting	False	AE	Laptop	Test	DS	Med	DS1
53	predicted_target_sentiment_AE_GloVe_Weighting_None	5	84.72222222222221	72	False	Weighting	False	AE	Laptop	Test	DS	Med	DS1
54	predicted_target_sentiment_AE_GloVe_Weighting_None	6	83.33333333333334	72	False	Weighting	False	AE	Laptop	Test	DS	Med	DS1
55	predicted_target_sentiment_AE_GloVe_Weighting_None	7	83.33333333333334	72	False	Weighting	False	AE	Laptop	Test	DS	Med	DS1
56	predicted_target_sentiment_AE_GloVe_Weighting_None	0	93.18181818181817	44	False	Weighting	False	AE	Laptop	Test	DS	High	DS1
57	predicted_target_sentiment_AE_GloVe_Weighting_None	1	86.36363636363636	44	False	Weighting	False	AE	Laptop	Test	DS	High	DS1
58	predicted_target_sentiment_AE_GloVe_Weighting_None	2	84.0909090909091	44	False	Weighting	False	AE	Laptop	Test	DS	High	DS1
59	predicted_target_sentiment_AE_GloVe_Weighting_None	3	86.36363636363636	44	False	Weighting	False	AE	Laptop	Test	DS	High	DS1
60	predicted_target_sentiment_AE_GloVe_Weighting_None	4	88.63636363636364	44	False	Weighting	False	AE	Laptop	Test	DS	High	DS1
61	predicted_target_sentiment_AE_GloVe_Weighting_None	5	90.9090909090909	44	False	Weighting	False	AE	Laptop	Test	DS	High	DS1
62	predicted_target_sentiment_AE_GloVe_Weighting_None	6	95.45454545454545	44	False	Weighting	False	AE	Laptop	Test	DS	High	DS1
63	predicted_target_sentiment_AE_GloVe_Weighting_None	7	93.18181818181817	44	False	Weighting	False	AE	Laptop	Test	DS	High	DS1
64	predicted_target_sentiment_IAN_GloVe_Weighting_None	0	63.32046332046332	259	False	Weighting	False	IAN	Laptop	Test	DS	1	DS1
65	predicted_target_sentiment_IAN_GloVe_Weighting_None	1	63.7065637065637	259	False	Weighting	False	IAN	Laptop	Test	DS	1	DS1
66	predicted_target_sentiment_IAN_GloVe_Weighting_None	2	64.86486486486487	259	False	Weighting	False	IAN	Laptop	Test	DS	1	DS1
67	predicted_target_sentiment_IAN_GloVe_Weighting_None	3	64.47876447876449	259	False	Weighting	False	IAN	Laptop	Test	DS	1	DS1
68	predicted_target_sentiment_IAN_GloVe_Weighting_None	4	64.86486486486487	259	False	Weighting	False	IAN	Laptop	Test	DS	1	DS1
69	predicted_target_sentiment_IAN_GloVe_Weighting_None	5	65.63706563706563	259	False	Weighting	False	IAN	Laptop	Test	DS	1	DS1
70	predicted_target_sentiment_IAN_GloVe_Weighting_None	6	66.02316602316603	259	False	Weighting	False	IAN	Laptop	Test	DS	1	DS1
71	predicted_target_sentiment_IAN_GloVe_Weighting_None	7	64.47876447876449	259	False	Weighting	False	IAN	Laptop	Test	DS	1	DS1
72	predicted_target_sentiment_IAN_GloVe_Weighting_None	0	68.75	160	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS1
73	predicted_target_sentiment_IAN_GloVe_Weighting_None	1	68.125	160	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS1
74	predicted_target_sentiment_IAN_GloVe_Weighting_None	2	71.875	160	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS1
75	predicted_target_sentiment_IAN_GloVe_Weighting_None	3	70.625	160	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS1
76	predicted_target_sentiment_IAN_GloVe_Weighting_None	4	69.375	160	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS1
77	predicted_target_sentiment_IAN_GloVe_Weighting_None	5	71.875	160	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS1
78	predicted_target_sentiment_IAN_GloVe_Weighting_None	6	67.5	160	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS1
79	predicted_target_sentiment_IAN_GloVe_Weighting_None	7	68.75	160	False	Weighting	False	IAN	Laptop	Test	DS	Low	DS1
80	predicted_target_sentiment_IAN_GloVe_Weighting_None	0	90.27777777777779	72	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS1
81	predicted_target_sentiment_IAN_GloVe_Weighting_None	1	88.88888888888889	72	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS1
82	predicted_target_sentiment_IAN_GloVe_Weighting_None	2	83.33333333333334	72	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS1
83	predicted_target_sentiment_IAN_GloVe_Weighting_None	3	90.27777777777779	72	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS1
84	predicted_target_sentiment_IAN_GloVe_Weighting_None	4	87.5	72	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS1
85	predicted_target_sentiment_IAN_GloVe_Weighting_None	5	86.11111111111111	72	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS1
86	predicted_target_sentiment_IAN_GloVe_Weighting_None	6	87.5	72	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS1
87	predicted_target_sentiment_IAN_GloVe_Weighting_None	7	87.5	72	False	Weighting	False	IAN	Laptop	Test	DS	Med	DS1
88	predicted_target_sentiment_IAN_GloVe_Weighting_None	0	70.45454545454545	44	False	Weighting	False	IAN	Laptop	Test	DS	High	DS1
89	predicted_target_sentiment_IAN_GloVe_Weighting_None	1	81.81818181818183	44	False	Weighting	False	IAN	Laptop	Test	DS	High	DS1
90	predicted_target_sentiment_IAN_GloVe_Weighting_None	2	79.54545454545455	44	False	Weighting	False	IAN	Laptop	Test	DS	High	DS1
91	predicted_target_sentiment_IAN_GloVe_Weighting_None	3	84.0909090909091	44	False	Weighting	False	IAN	Laptop	Test	DS	High	DS1
92	predicted_target_sentiment_IAN_GloVe_Weighting_None	4	77.27272727272727	44	False	Weighting	False	IAN	Laptop	Test	DS	High	DS1
93	predicted_target_sentiment_IAN_GloVe_Weighting_None	5	79.54545454545455	44	False	Weighting	False	IAN	Laptop	Test	DS	High	DS1
94	predicted_target_sentiment_IAN_GloVe_Weighting_None	6	84.0909090909091	44	False	Weighting	False	IAN	Laptop	Test	DS	High	DS1
95	predicted_target_sentiment_IAN_GloVe_Weighting_None	7	79.54545454545455	44	False	Weighting	False	IAN	Laptop	Test	DS	High	DS1
96	predicted_target_sentiment_IAN_GloVe_None_None	0	64.47876447876449	259	False	False	False	IAN	Laptop	Test	DS	1	DS1
97	predicted_target_sentiment_IAN_GloVe_None_None	1	62.54826254826254	259	False	False	False	IAN	Laptop	Test	DS	1	DS1
98	predicted_target_sentiment_IAN_GloVe_None_None	2	64.0926640926641	259	False	False	False	IAN	Laptop	Test	DS	1	DS1
99	predicted_target_sentiment_IAN_GloVe_None_None	3	64.86486486486487	259	False	False	False	IAN	Laptop	Test	DS	1	DS1
100	predicted_target_sentiment_IAN_GloVe_None_None	4	62.54826254826254	259	False	False	False	IAN	Laptop	Test	DS	1	DS1
101	predicted_target_sentiment_IAN_GloVe_None_None	5	64.86486486486487	259	False	False	False	IAN	Laptop	Test	DS	1	DS1
102	predicted_target_sentiment_IAN_GloVe_None_None	6	62.16216216216216	259	False	False	False	IAN	Laptop	Test	DS	1	DS1
103	predicted_target_sentiment_IAN_GloVe_None_None	7	64.0926640926641	259	False	False	False	IAN	Laptop	Test	DS	1	DS1
104	predicted_target_sentiment_IAN_GloVe_None_None	0	69.375	160	False	False	False	IAN	Laptop	Test	DS	Low	DS1
105	predicted_target_sentiment_IAN_GloVe_None_None	1	70.625	160	False	False	False	IAN	Laptop	Test	DS	Low	DS1
106	predicted_target_sentiment_IAN_GloVe_None_None	2	74.375	160	False	False	False	IAN	Laptop	Test	DS	Low	DS1
107	predicted_target_sentiment_IAN_GloVe_None_None	3	71.875	160	False	False	False	IAN	Laptop	Test	DS	Low	DS1
108	predicted_target_sentiment_IAN_GloVe_None_None	4	68.75	160	False	False	False	IAN	Laptop	Test	DS	Low	DS1
109	predicted_target_sentiment_IAN_GloVe_None_None	5	71.25	160	False	False	False	IAN	Laptop	Test	DS	Low	DS1
110	predicted_target_sentiment_IAN_GloVe_None_None	6	70.0	160	False	False	False	IAN	Laptop	Test	DS	Low	DS1
111	predicted_target_sentiment_IAN_GloVe_None_None	7	71.875	160	False	False	False	IAN	Laptop	Test	DS	Low	DS1
112	predicted_target_sentiment_IAN_GloVe_None_None	0	90.27777777777779	72	False	False	False	IAN	Laptop	Test	DS	Med	DS1
113	predicted_target_sentiment_IAN_GloVe_None_None	1	86.11111111111111	72	False	False	False	IAN	Laptop	Test	DS	Med	DS1
114	predicted_target_sentiment_IAN_GloVe_None_None	2	84.72222222222221	72	False	False	False	IAN	Laptop	Test	DS	Med	DS1
115	predicted_target_sentiment_IAN_GloVe_None_None	3	88.88888888888889	72	False	False	False	IAN	Laptop	Test	DS	Med	DS1
116	predicted_target_sentiment_IAN_GloVe_None_None	4	88.88888888888889	72	False	False	False	IAN	Laptop	Test	DS	Med	DS1
117	predicted_target_sentiment_IAN_GloVe_None_None	5	86.11111111111111	72	False	False	False	IAN	Laptop	Test	DS	Med	DS1
118	predicted_target_sentiment_IAN_GloVe_None_None	6	86.11111111111111	72	False	False	False	IAN	Laptop	Test	DS	Med	DS1
119	predicted_target_sentiment_IAN_GloVe_None_None	7	87.5	72	False	False	False	IAN	Laptop	Test	DS	Med	DS1
120	predicted_target_sentiment_IAN_GloVe_None_None	0	84.0909090909091	44	False	False	False	IAN	Laptop	Test	DS	High	DS1
121	predicted_target_sentiment_IAN_GloVe_None_None	1	75.0	44	False	False	False	IAN	Laptop	Test	DS	High	DS1
122	predicted_target_sentiment_IAN_GloVe_None_None	2	84.0909090909091	44	False	False	False	IAN	Laptop	Test	DS	High	DS1
123	predicted_target_sentiment_IAN_GloVe_None_None	3	79.54545454545455	44	False	False	False	IAN	Laptop	Test	DS	High	DS1
124	predicted_target_sentiment_IAN_GloVe_None_None	4	84.0909090909091	44	False	False	False	IAN	Laptop	Test	DS	High	DS1
125	predicted_target_sentiment_IAN_GloVe_None_None	5	81.81818181818183	44	False	False	False	IAN	Laptop	Test	DS	High	DS1
126	predicted_target_sentiment_IAN_GloVe_None_None	6	79.54545454545455	44	False	False	False	IAN	Laptop	Test	DS	High	DS1
127	predicted_target_sentiment_IAN_GloVe_None_None	7	79.54545454545455	44	False	False	False	IAN	Laptop	Test	DS	High	DS1
128	predicted_target_sentiment_AE_GloVe_None_None	0	0.0	0	False	False	False	AE	Laptop	Test	DS	1	DS2
129	predicted_target_sentiment_AE_GloVe_None_None	0	50.0	44	False	False	False	AE	Laptop	Test	DS	Low	DS2
130	predicted_target_sentiment_AE_GloVe_None_None	1	52.27272727272727	44	False	False	False	AE	Laptop	Test	DS	Low	DS2
131	predicted_target_sentiment_AE_GloVe_None_None	2	50.0	44	False	False	False	AE	Laptop	Test	DS	Low	DS2
132	predicted_target_sentiment_AE_GloVe_None_None	3	54.54545454545454	44	False	False	False	AE	Laptop	Test	DS	Low	DS2
133	predicted_target_sentiment_AE_GloVe_None_None	4	50.0	44	False	False	False	AE	Laptop	Test	DS	Low	DS2
134	predicted_target_sentiment_AE_GloVe_None_None	5	45.45454545454545	44	False	False	False	AE	Laptop	Test	DS	Low	DS2
135	predicted_target_sentiment_AE_GloVe_None_None	6	52.27272727272727	44	False	False	False	AE	Laptop	Test	DS	Low	DS2
136	predicted_target_sentiment_AE_GloVe_None_None	7	50.0	44	False	False	False	AE	Laptop	Test	DS	Low	DS2
137	predicted_target_sentiment_AE_GloVe_None_None	0	37.03703703703704	27	False	False	False	AE	Laptop	Test	DS	Med	DS2
138	predicted_target_sentiment_AE_GloVe_None_None	1	29.629629629629626	27	False	False	False	AE	Laptop	Test	DS	Med	DS2
139	predicted_target_sentiment_AE_GloVe_None_None	2	40.74074074074074	27	False	False	False	AE	Laptop	Test	DS	Med	DS2
140	predicted_target_sentiment_AE_GloVe_None_None	3	37.03703703703704	27	False	False	False	AE	Laptop	Test	DS	Med	DS2
141	predicted_target_sentiment_AE_GloVe_None_None	4	40.74074074074074	27	False	False	False	AE	Laptop	Test	DS	Med	DS2
142	predicted_target_sentiment_AE_GloVe_None_None	5	40.74074074074074	27	False	False	False	AE	Laptop	Test	DS	Med	DS2
143	predicted_target_sentiment_AE_GloVe_None_None	6	44.44444444444444	27	False	False	False	AE	Laptop	Test	DS	Med	DS2
144	predicted_target_sentiment_AE_GloVe_None_None	7	40.74074074074074	27	False	False	False	AE	Laptop	Test	DS	Med	DS2
145	predicted_target_sentiment_AE_GloVe_None_None	0	52.17391304347826	23	False	False	False	AE	Laptop	Test	DS	High	DS2
146	predicted_target_sentiment_AE_GloVe_None_None	1	52.17391304347826	23	False	False	False	AE	Laptop	Test	DS	High	DS2
147	predicted_target_sentiment_AE_GloVe_None_None	2	56.52173913043478	23	False	False	False	AE	Laptop	Test	DS	High	DS2
148	predicted_target_sentiment_AE_GloVe_None_None	3	52.17391304347826	23	False	False	False	AE	Laptop	Test	DS	High	DS2
149	predicted_target_sentiment_AE_GloVe_None_None	4	52.17391304347826	23	False	False	False	AE	Laptop	Test	DS	High	DS2
150	predicted_target_sentiment_AE_GloVe_None_None	5	43.47826086956522	23	False	False	False	AE	Laptop	Test	DS	High	DS2
151	predicted_target_sentiment_AE_GloVe_None_None	6	56.52173913043478	23	False	False	False	AE	Laptop	Test	DS	High	DS2
152	predicted_target_sentiment_AE_GloVe_None_None	7	47.82608695652174	23	False	False	False	AE	Laptop	Test	DS	High	DS2
153	predicted_target_sentiment_AE_GloVe_Weighting_None	0	0.0	0	False	Weighting	False	AE	Laptop	Test	DS	1	DS2
154	predicted_target_sentiment_AE_GloVe_Weighting_None	0	47.72727272727273	44	False	Weighting	False	AE	Laptop	Test	DS	Low	DS2
155	predicted_target_sentiment_AE_GloVe_Weighting_None	1	50.0	44	False	Weighting	False	AE	Laptop	Test	DS	Low	DS2
156	predicted_target_sentiment_AE_GloVe_Weighting_None	2	54.54545454545454	44	False	Weighting	False	AE	Laptop	Test	DS	Low	DS2
157	predicted_target_sentiment_AE_GloVe_Weighting_None	3	56.81818181818182	44	False	Weighting	False	AE	Laptop	Test	DS	Low	DS2
158	predicted_target_sentiment_AE_GloVe_Weighting_None	4	61.36363636363637	44	False	Weighting	False	AE	Laptop	Test	DS	Low	DS2
159	predicted_target_sentiment_AE_GloVe_Weighting_None	5	59.09090909090909	44	False	Weighting	False	AE	Laptop	Test	DS	Low	DS2
160	predicted_target_sentiment_AE_GloVe_Weighting_None	6	61.36363636363637	44	False	Weighting	False	AE	Laptop	Test	DS	Low	DS2
161	predicted_target_sentiment_AE_GloVe_Weighting_None	7	54.54545454545454	44	False	Weighting	False	AE	Laptop	Test	DS	Low	DS2
162	predicted_target_sentiment_AE_GloVe_Weighting_None	0	44.44444444444444	27	False	Weighting	False	AE	Laptop	Test	DS	Med	DS2
163	predicted_target_sentiment_AE_GloVe_Weighting_None	1	40.74074074074074	27	False	Weighting	False	AE	Laptop	Test	DS	Med	DS2
164	predicted_target_sentiment_AE_GloVe_Weighting_None	2	40.74074074074074	27	False	Weighting	False	AE	Laptop	Test	DS	Med	DS2
165	predicted_target_sentiment_AE_GloVe_Weighting_None	3	44.44444444444444	27	False	Weighting	False	AE	Laptop	Test	DS	Med	DS2
166	predicted_target_sentiment_AE_GloVe_Weighting_None	4	48.148148148148145	27	False	Weighting	False	AE	Laptop	Test	DS	Med	DS2
167	predicted_target_sentiment_AE_GloVe_Weighting_None	5	44.44444444444444	27	False	Weighting	False	AE	Laptop	Test	DS	Med	DS2
168	predicted_target_sentiment_AE_GloVe_Weighting_None	6	40.74074074074074	27	False	Weighting	False	AE	Laptop	Test	DS	Med	DS2
169	predicted_target_sentiment_AE_GloVe_Weighting_None	7	40.74074074074074	27	False	Weighting	False	AE	Laptop	Test	DS	Med	DS2
